,Address,location
37,590 FT WASHINGTON AVE NYC,"(40.854543449999994, -73.9366724432515)"
38,270 11th Ave NYC,"(40.75165211111111, -74.00487199999999)"
39,257 W 17th St NYC,"(40.7415747, -74.00036354007233)"
40,200 E 35th St NYC,"(40.7462048, -73.977447)"
41,135 W 52nd St NYC,"(40.76165295918367, -73.98048873469388)"
42,30 E 85th St NYC,"(40.7801679, -73.9595496)"
43,435 E 70th St NYC,"(40.766122, -73.9559065)"
44,48 W 73rd St NYC,"(40.7779198, -73.9781228)"
45,592 E 180th St NYC,"(40.8494651, -73.8918356)"
46,566 Schenectady Ave NYC,"(40.65976725, -73.93442724502079)"
47,167 McDonald Ave NYC,"(40.6505916, -73.98063285887096)"
48,W Clermont Ave NYC,"(40.689506, -73.970131)"
49,175-20 Hillside Ave NYC,"(40.7117339, -73.7868491)"
50,90-45 149th St NYC,"(40.7023006, -73.8055768)"
51,127-21 Liberty Ave NYC,"(40.6891307, -73.81726282334762)"
52,35-40 157th St NYC,"(40.7646462, -73.80830328062336)"
53,32-70 44th St NYC,"(40.7558715, -73.9173811)"
54,139 E 23rd St NYC,"(40.7395754, -73.98427945499779)"
55,403 E 91st St NYC,"(40.7799817, -73.94638448441586)"
56,350 W 75th St NYC,"(40.78205565306122, -73.98398269387755)"
57,332 Lenox Ave NYC,"(40.80866475, -73.94436224484683)"
58,1370 St Nicholas Ave NYC,"(40.8478184, -73.9346033)"
59,852 E 176th St NYC,"(40.84101925, -73.8882274647252)"
60,2141 Holland Ave NYC,"(40.8548081, -73.8658681)"
61,422 AVE U NYC,"(40.59729645, -73.96836600076298)"
62,75-20 60th Ln NYC,"(40.6979661, -73.89502019761905)"
63,108-24 Ascan Ave NYC,"(40.7180062, -73.8406026)"
64,40-16 12th St NYC,"(40.7554122, -73.9429175)"
65,177 Chrystie St NYC,"(40.7211142, -73.992499)"
66,215 Chrystie St NYC,"(40.723034, -73.9920355)"
67,160 W 12th St NYC,"(40.73667293331414, -73.99954909869501)"
68,95 Stanton St NYC,"(40.7213285, -73.9883827)"
69,N E 7th St NYC,"(40.7260961, -73.983637)"
70,522 W 19th St NYC,"(40.74538444897959, -74.0065458367347)"
71,227 E 58th St NYC,"(40.760531549999996, -73.96560449549958)"
72,229 E 58th St NYC,"(40.7604043, -73.9655424)"
73,7 E 49th St NYC,"(40.757844000000006, -73.97727057142856)"
74,123 E 79th St NYC,"(40.77540285, -73.9593881589665)"
75,1109 5th Ave NYC,"(43.3545384, -8.4082542)"
76,W Riverside Dr NYC,"(40.8665267, -73.93053)"
77,40 W 115th St NYC,"(40.80038905, -73.94903284963762)"
78,2189 Frederick Douglass B NYC,"(0, 0)"
79,3933 Broadway NYC,"(40.8390179, -73.9415841)"
80,W Commonwealth Ave NYC,"(40.8379368, -73.8691369)"
81,2751 Homecrest Ave NYC,"(40.584285, -73.95614)"
82,1039 Ocean Pky NYC,"(40.62327725, -73.9696836872426)"
83,547 Chestnut St NYC,"(40.67347385, -73.87278144999999)"
84,35 Underhill Ave NYC,"(40.74672685, -73.801961519485)"
85,N Noble St NYC,"(40.728238, -73.9598135)"
86,W 109th St NYC,"(40.8019473, -73.9632889)"
87,246-07 Jericho Tpke NYC,"(0, 0)"
88,S 38th Ave NYC,"(40.747914, -73.903366)"
89,30-63 Steinway St NYC,"(40.76224995, -73.9159925604036)"
90,94-03 Roosevelt Ave NYC,"(40.7490275, -73.87259502363605)"
91,187 Chrystie St NYC,"(40.72180915, -73.9922618971291)"
92,N E 58th St NYC,"(40.7600489, -73.9649336)"
93,987 Madison Ave NYC,"(40.7747583, -73.9630799)"
94,51 Columbus Ave NYC,"(40.76963947297297, -73.98458867567568)"
95,424 E 89th St NYC,"(40.7782835, -73.9469761)"
96,420 W 116th St NYC,"(40.8062456, -73.9601834)"
97,511 W 167th St NYC,"(40.8398282, -73.93810689070588)"
98,3048 Buhre Ave NYC,"(40.8473914, -73.8308745)"
99,S E 192nd St NYC,"(40.8639748, -73.89461)"
100,3411 White Plains Rd NYC,
101,3071 Perry Ave NYC,
102,4315 18th Ave NYC,
103,W E 72nd St NYC,
104,1247 Flatbush Ave NYC,
105,1292 Fulton St NYC,
106,208 Hancock St NYC,
107,123-25 82nd Ave NYC,
108,S Horace Harding Expy NYC,
109,3404 30 AVE NYC,
110,13 W 13th St NYC,
111,315 W 47th St NYC,
112,1 W 58th St NYC,
113,3557 Broadway NYC,
114,71 Metropolitan Oval NYC,
115,15 E 196th St NYC,
116,1365 38th St NYC,
117,1323 79th St NYC,
118,408 77th St NYC,
119,80-64 Lefferts Blvd NYC,
120,142-12 Pershing Cres NYC,
121,135-41 138th St NYC,
122,110-33 Sutphin Blvd NYC,
123,29-01 29th St NYC,
124,S Cedar St NYC,
125,14 Orchard St NYC,
126,630 E 14th St NYC,
127,1177 6th Ave NYC,
128,1280 Lexington Ave NYC,
129,722 W 168th St NYC,
130,2939 3rd Ave NYC,
131,N Halleck St NYC,
132,955 SHERIDAN AVE NYC,
133,74 Hugh J Grant Cir NYC,
134,3450 Baychester Ave NYC,
135,6320 15th Ave NYC,
136,416 59th St NYC,
137,454 E 7th St NYC,
138,456 Fulton St NYC,
139,E Adams St NYC,
140,118 N 8th St NYC,
141,141 Wooster St NYC,
142,41 Broad St NYC,
143,132A Eldridge St NYC,
144,345 W 30th St NYC,
145,224 W 47th St NYC,
146,150 W 55th St NYC,
147,227 W 46th St NYC,
148,1438 3rd Ave NYC,
149,1658 3rd Ave NYC,
150,20 E 78th St NYC,
151,252 W 72nd St NYC,
152,S W 69th St NYC,
153,489 Amsterdam Ave NYC,
154,665 W 160th St NYC,
155,S E 179th St NYC,
156,140 De Kruif Pl NYC,
157,1977 Morris Ave NYC,
158,3432 Jerome Ave NYC,
159,2402 E 17th St NYC,
160,339 E 23rd St NYC,
161,99 Clinton St NYC,
162,32 Court St NYC,
163,351 Stagg St NYC,
164,188 Beach 117th St NYC,
165,68-39 Central Ave NYC,
166,143-10 Laburnum Ave NYC,
167,40-14 83rd St NYC,
168,28-12 Ditmars Blvd NYC,
169,E 14th St NYC,
170,22-04 31st St NYC,
171,302 AUDUBON AVE NYC,
172,6412 14 AVENUE NYC,
173,E Beaver St NYC,
174,25 Clinton St NYC,
175,12 W 37th St NYC,
176,400 St Nicholas Ave NYC,
177,510 W 218th St NYC,
178,W Fteley Ave NYC,
179,820 E 226th St NYC,
180,7107 20th Ave NYC,
181,1851 Nostrand Ave NYC,
182,4708 Snyder Ave NYC,
183,540 Montgomery St NYC,
184,E Spencer St NYC,
185,75 Montague St NYC,
186,774 Broadway NYC,
187,924 MADISON AVE NYC,
188,244 Madison Ave NYC,
189,679 9th Ave NYC,
190,S E 80th St NYC,
191,1508 Olmstead Ave NYC,
192,569 E 5th St NYC,
193,W Troy Ave NYC,
194,85 4TH PL NYC,
195,9 Beaver St NYC,
196,297 Humboldt St NYC,
197,2 St John Rd NYC,
198,E 60th Ln NYC,
199,60-63 68th Ave NYC,
200,164-12 69th Ave NYC,
201,21-41 45th Rd NYC,
202,N 73rd Ave NYC,
203,33-07 Broadway NYC,
204,640 EASTERN PKWY NYC,
206,140 8th Ave NYC,
207,3 E 54th St NYC,
208,418 E 71st St NYC,
209,504 Columbus Ave NYC,
210,253 W 125th St NYC,
211,281 E 153rd St NYC,
212,4044 Park Ave NYC,
213,3059 Olinville Ave NYC,
214,587 W 235th St NYC,
215,200 Brighton 15th St NYC,
216,586 74th St NYC,
217,116 E 19th St NYC,
218,139-27 88th Ave NYC,
219,42-01 162nd St NYC,
220,N 38th Ave NYC,
221,40-12 Bell Blvd NYC,
222,38-02 Broadway NYC,
223,23-11 30th Dr NYC,
224,296 GRAND CONCOURSE NYC,
225,N W 33rd St NYC,
226,304 8th Ave NYC,
227,202 W 24th St NYC,
228,544 W 49th St NYC,
229,12 E 49th St NYC,
230,127 E 73rd St NYC,
231,170 Amsterdam Ave NYC,
232,933 E 156th St NYC,
233,3073 Buhre Ave NYC,
234,E Irwin Ave NYC,
235,1644 E 22nd St NYC,
236,152 85th St NYC,
237,1032 E 95th St NYC,
238,205 Berkeley Pl NYC,
239,8374 Talbot St NYC,
240,W 24th St NYC,
241,24-30 Skillman Ave NYC,
242,E 134th St NYC,
243,942 Columbus Ave NYC,
244,178 GRAND ST NYC,
245,285 Madison Ave NYC,
246,N E 73rd St NYC,
247,64 Pilling St NYC,
248,49 W 85th St NYC,
249,70-23 Austin St NYC,
250,E Thompson St NYC,
251,21-37 23rd St NYC,
252,70 Vanderbilt Ave NYC,
253,2698 Jerome Ave NYC,
254,2446 Creston Ave NYC,
255,2198 FLATBUSH AVE NYC,
256,812 Lexington Ave NYC,
257,30-53 34th St NYC,
258,190 Marcy Ave NYC,
259,210 E 23rd St NYC,
260,278 Broadway NYC,
261,38-70 10th St NYC,
262,E 72nd Dr NYC,
263,917 Willoughby Ave NYC,
264,273 3rd Ave NYC,
265,20-67 33rd St NYC,
266,232 W 24TH STREET NYC,
267,1515 BROADWAY NYC,
268,11-11 36th Ave NYC,
269,53 Thompson St NYC,
270,290 Vanderbilt Ave NYC,
271,465 W 23rd St NYC,
272,89-64 163rd St NYC,
273,55 1st Ave NYC,
274,8 E 16th St NYC,
275,E Woodhaven Blvd NYC,
276,40-12 Warren St NYC,
277,S E 21st St NYC,
278,396 E 155TH ST NYC,
279,288 Mulberry St NYC,
280,125 Stanton St NYC,
281,351 W 18th St NYC,
282,5 E 31st St NYC,
283,618 Amsterdam Ave NYC,
284,E Walton Ave NYC,
285,2430 Davidson Ave NYC,
286,2249 65th St NYC,
287,968 Coney Island Ave NYC,
288,63 Turner Pl NYC,
289,500 Logan St NYC,
290,187 Franklin Ave NYC,
291,240 Hooper St NYC,
292,79-22 Metropolitan Ave NYC,
293,576 Menahan St NYC,
294,N Barclay Ave NYC,
295,E 55th Ave NYC,
296,97-25 Queens Blvd NYC,
297,25-95 41st St NYC,
298,N E 13th St NYC,
299,458 W 51st St NYC,
300,W 5th Ave NYC,
301,1450 3rd Ave NYC,
302,35 E 85th St NYC,
303,N Riverside Dr NYC,
304,N Rockwood St NYC,
305,S Pelham Pkwy S NYC,
306,W W 15th St NYC,
307,766 Snediker Ave NYC,
308,386 Atlantic Ave NYC,
309,280 W 231 STREET NYC,
310,85 South St NYC,
311,601 W 57th St NYC,
312,1538 3rd Ave NYC,
313,225 E 64th St NYC,
315,317 E 188th St NYC,
316,19 E 31st St NYC,
317,1020 CONEY ISLAND AVE NYC,
318,859 E New York Ave NYC,
319,9 Plaza Street West NYC,
320,1125 Park Pl NYC,
321,105-12 Jamaica Ave NYC,
322,E 44th St NYC,
323,41-57 150th St NYC,
324,98-11 Queens Blvd NYC,
325,410 GRAND ST NYC,
326,70 Broad St NYC,
327,1122 3rd Ave NYC,
328,1287 1st Ave NYC,
329,1495 3rd Ave NYC,
330,26 W 61st St NYC,
331,N W 133rd St NYC,
332,603 W 184th St NYC,
333,844 Gerard Ave NYC,
334,2557 Marion Ave NYC,
335,3548 White Plains Rd NYC,
336,1404 Avenue U NYC,
337,139-30 Queens Blvd NYC,
338,S 89th Ave NYC,
339,E 71st Ave NYC,
340,8902 63rd Ave NYC,
341,434 Greenwich St NYC,
342,20 E 37th St NYC,
344,219 W 53rd St NYC,
345,46 E 46th St NYC,
346,N E 65th St NYC,
347,1881 Broadway NYC,
348,2394 Broadway NYC,
349,506 Lenox Ave NYC,
350,2049 Mc Graw Ave NYC,
351,1060 Morris Park Ave NYC,
352,E Williamsbridge Rd NYC,
353,4002 12th St NYC,
354,9407 Kings Hwy NYC,
355,849 Pacific St NYC,
356,278 1st St NYC,
357,349 Stockholm St NYC,
358,68 Willoughby St NYC,
359,81-12 Lefferts Blvd NYC,
360,21-24 31st St NYC,
361,99-22 34th Ave NYC,
362,97-07 37th Ave NYC,
363,119 CHESTER STREET NYC,
364,S Platt St NYC,
365,517 E 71st St NYC,
366,N E 92nd St NYC,
367,W Amsterdam Ave NYC,
368,945 W 106th St NYC,
369,74 E 167th St NYC,
370,72 Westchester Sq NYC,
371,2352 Aqueduct Ave NYC,
372,1890 White Plains Rd NYC,
373,217 BRIGHTON BEACH AVE NYC,
374,2105 E 12th St NYC,
375,1214 E 18th St NYC,
376,302 Clinton Ave NYC,
377,S Havemeyer St NYC,
378,143-02 Hoover Ave NYC,
379,S Orchard St NYC,
380,W Steinway St NYC,
381,23-04 33rd Ave NYC,
382,602 10th Ave NYC,
383,69 E 125th St NYC,
384,108 W 124th St NYC,
385,84 Nagle Ave NYC,
386,W Valentine Ave NYC,
387,2727 University Ave NYC,
388,1915 McDonald Ave NYC,
389,3151 Mill Ave NYC,
390,4313 13th Ave NYC,
391,28 Varick Ave NYC,
392,12-15 Charles Pl NYC,
393,57 Montague St NYC,
394,8 Everett Ave NYC,
395,100 Willoughby St NYC,
396,20-26 S 4th St NYC,
397,6046 55th St NYC,
398,152-72 Melbourne Ave NYC,
399,40-11 149th St NYC,
400,41-12 Elbertson St NYC,
401,97-19 Roosevelt Ave NYC,
402,N York St NYC,
403,N E Broadway NYC,
404,347 5th Ave NYC,
405,227 E 28th St NYC,
406,462 7th Ave NYC,
407,348 W 48th St NYC,
408,235 E 87th St NYC,
409,271 Central Park West NYC,
410,502 W 142nd St NYC,
411,S Westchester Ave NYC,
412,830 Olmstead Ave NYC,
413,70 Argyle Rd NYC,
414,S Union St NYC,
415,6058 68th Rd NYC,
416,42-19 Bell Blvd NYC,
417,32-54 35th St NYC,
418,S Roosevelt Ave NYC,
419,N Mosely Ave NYC,
420,435 LONGFELLOW AVE NYC,
421,787 ALLERTON AVE NYC,
422,561 WEST 180 ST NYC,
423,311 Greenwich St NYC,
424,89 Greene St NYC,
425,89 E 3rd St NYC,
426,141 W 73rd St NYC,
427,1125 Amsterdam Ave NYC,
428,558 Southern Blvd NYC,
429,100 Einstein Loop NYC,
430,539 Linden Blvd NYC,
431,W 60th St NYC,
432,79-07 Main St NYC,
433,38-15 Bell Blvd NYC,
434,23-05 30th Ave NYC,
435,120 BEACH 26TH STREET NYC,
436,421 Hudson St NYC,
437,160 Crosby St NYC,
438,N E 45th St NYC,
439,300 E 90th St NYC,
440,E Convent Ave NYC,
441,987 Washington Ave NYC,
442,4157 Boston Rd NYC,
443,1624 44th St NYC,
444,W Fort Hamilton Pkwy NYC,
445,1202 Fulton St NYC,
446,168-33 Highland Ave NYC,
447,45-17 Greenpoint Ave NYC,
449,30 PRINCE ST NYC,
450,42 ELDERT ST NYC,
451,96 Morton St NYC,
452,226 W 14th St NYC,
453,80 Riverside Blvd NYC,
454,503 W 145th St NYC,
455,1760 Decatur Ave NYC,
456,5114 12th Ave NYC,
457,1470 FLATBUSH AVE NYC,
458,2681 Pitkin Ave NYC,
460,109 S 9th St NYC,
461,83-26 Lefferts Blvd NYC,
462,92-18 Guy R Brewer Blvd NYC,
463,17-23 Cornelia St NYC,
464,155-10 Cross Bay Blvd NYC,
465,71-63 Austin St NYC,
466,3427 BOSTON ROAD NYC,
467,E Water St NYC,
468,410 W 16th St NYC,
469,200 E 74th St NYC,
471,23 W 73rd St NYC,
472,1 E 104th St NYC,
473,2139 Adam Clayton Powell NYC,
474,1710 Shore Blvd NYC,
475,3111 Ocean Pky NYC,
476,S Elm Ave NYC,
477,S Herkimer St NYC,
478,1575 Dekalb Ave NYC,
479,W 164th St NYC,
480,6651 Fresh Pond Rd NYC,
481,55-17 Seabury St NYC,
482,33-03 31st Ave NYC,
483,28-07 Steinway St NYC,
484,32-40 75th St NYC,
485,3241 WHITE PLAINS ROAD NYC,
486,140 E 28th St NYC,
487,123A 7th Ave NYC,
488,555 8th Ave NYC,
489,114 W 70th St NYC,
490,218 Parkside Ave NYC,
491,473 Porter Ave NYC,
492,207 Bedford Ave NYC,
493,90-11 160th St NYC,
494,S 90th Ave NYC,
495,37-61 87th St NYC,
496,137-17 135 AVE NYC,
497,1031 RUTLAND ROAD NYC,
498,571 MAIN ST NYC,
499,155 E 47 ST NYC,
500,402 Bridge St NYC,
501,910 Union St NYC,
502,207 10th Ave NYC,
503,50 W 97th St NYC,
504,2027 Jerome Ave NYC,
505,66-44 Fresh Pond Rd NYC,
506,1189 E 53rd St NYC,
507,113-24 Queens Blvd NYC,
508,949 Southern Blvd NYC,
509,37-36 76th St NYC,
510,S E 4th St NYC,
511,360 Mother Gaston Blvd NYC,
512,25 E 83rd St NYC,
513,2471 Webb Ave NYC,
514,13 83rd St NYC,
515,N 56th Ave NYC,
516,117 IRVING AVE NYC,
517,86-62 Midland Pky NYC,
518,552 Jefferson Ave NYC,
519,405 E 87th St NYC,
520,63 E Tremont Ave NYC,
521,107-08 71st Ave NYC,
522,25 E 61st St NYC,
523,78-25 37th Ave NYC,
524,25 Convent Ave NYC,
525,531 GLENMORE AVENUE NYC,
526,80 Delancey St NYC,
527,1431 3rd Ave NYC,
529,1551 University Ave NYC,
530,2211 Bragg St NYC,
531,259 E 26th St NYC,
532,70-50 Austin St NYC,
533,22-12 40th Ave NYC,
534,662 MYRTLE AVE NYC,
535,508 W 114 ST NYC,
536,63-35 30 AVE NYC,
537,84 Allen St NYC,
538,2 E 58th St NYC,
539,1542 3rd Ave NYC,
540,3 Post Ave NYC,
541,E E Gun Hill Rd NYC,
542,65 Oriental Blvd NYC,
543,2508 Hubbard St NYC,
544,482 McDonald Ave NYC,
545,218 N 5th St NYC,
546,E West St NYC,
547,122-05 82nd Rd NYC,
548,2-01 50 AVE NYC,
549,59-16 99th St NYC,
550,105-25 67th Rd NYC,
551,134-45 166th Pl NYC,
552,303 PARK AVE NYC,
553,172 JAMAICA AVENUE NYC,
554,80 POWELL ST NYC,
555,307 W 28th St NYC,
556,161 W 35th St NYC,
557,641 W 131st St NYC,
558,1539 Westchester Ave NYC,
559,3616 Shore Pky NYC,
560,75-59 Metropolitan Ave NYC,
561,67-40 Myrtle Ave NYC,
562,40-12 31st Ave NYC,
563,S W 39th St NYC,
564,337 E 49th St NYC,
565,158 W 55th St NYC,
566,142 W 49th St NYC,
567,815 MADISON AVE NYC,
568,1091 Lexington Ave NYC,
569,262 West End Ave NYC,
570,327 PLEASANT AVE NYC,
571,1485 5th Ave NYC,
572,214 W 114th St NYC,
573,360 E 168th St NYC,
574,45 Walton Ave NYC,
575,3200 Coney Island Ave NYC,
576,895 Flatbush Ave NYC,
577,340 7th Ave NYC,
578,225 Duffield St NYC,
579,38-27 99th St NYC,
580,186 Prince St NYC,
581,39 E 10th St NYC,
582,254 Bleecker St NYC,
583,S E 22nd St NYC,
584,11 E 39th St NYC,
585,233 W 46th St NYC,
586,405 E 69th St NYC,
587,605 E 82nd St NYC,
588,184 E 64th St NYC,
589,S New York Ave NYC,
590,59 Scholes St NYC,
591,88-11 172nd St NYC,
592,45-26 Pearson St NYC,
593,N 53rd Ave NYC,
594,132-17 41st Rd NYC,
595,E 81st St NYC,
596,31-14 23rd Rd NYC,
597,2885 BUHRE AVE NYC,
598,43 Wooster St NYC,
599,113 Prince St NYC,
600,91 E 2nd St NYC,
601,339 E 10th St NYC,
602,S W 49th St NYC,
603,8 W 45th St NYC,
604,2518 Broadway NYC,
605,1389 Madison Ave NYC,
606,13-15 E 125th St NYC,
607,69 E 131st St NYC,
608,1020 Bryant Ave NYC,
609,1222 Rogers Ave NYC,
610,400 7th Ave NYC,
611,67 Olive St NYC,
612,E Francis Lewis Blvd NYC,
613,783 Cypress Ave NYC,
614,119-09 Liberty Ave NYC,
615,107-16 Queens Blvd NYC,
616,21-43 41st St NYC,
617,39-01 104th St NYC,
618,91-19 35th Ave NYC,
619,49-06 43RD AVENUE NYC,
620,27 Madison St NYC,
621,1511 Madison Ave NYC,
622,362 W 123rd St NYC,
623,2445 Creston Ave NYC,
624,6914 New Utrecht Ave NYC,
625,4712 16th Ave NYC,
626,S 47th St NYC,
627,130 8th Ave NYC,
628,120 Central Ave NYC,
629,E Jamaica Ave NYC,
630,18-73 Cornelia St NYC,
631,132-14 41st Rd NYC,
632,97-04 Queens Blvd NYC,
633,102-18 64th Ave NYC,
634,38-66 13th St NYC,
635,72-16 Roosevelt Ave NYC,
636,710 AVE K NYC,
637,133 Mercer St NYC,
638,41 Elizabeth St NYC,
639,28 8th Ave NYC,
640,61 Christopher St NYC,
641,S W 28th St NYC,
642,2005 Amsterdam Ave NYC,
643,332 E 149th St NYC,
644,1222 Kings Hwy NYC,
645,957 Church Ave NYC,
646,8616 3rd Ave NYC,
647,169-07 Jamaica Ave NYC,
649,146-25 Northern Blvd NYC,
650,213-01 48th Ave NYC,
651,W 19th St NYC,
652,23-56 26th St NYC,
653,416 Washington St NYC,
654,34 Water St NYC,
655,2 Horatio St NYC,
656,N W 18th St NYC,
657,407 W 15th St NYC,
658,19 W 50th St NYC,
659,S E 60th St NYC,
660,133 E 97th St NYC,
661,235 West End Ave NYC,
662,160 E 116th St NYC,
663,W Fort Washington Ave NYC,
664,672 E 233rd St NYC,
665,1998 Belmont Ave NYC,
666,3826 Nostrand Ave NYC,
667,1865 77th St NYC,
668,494 Marion St NYC,
669,231 Schenectady Ave NYC,
670,336 14th St NYC,
671,36-29 Bell Blvd NYC,
672,23-71 36th St NYC,
673,35-54 81st St NYC,
674,940 HANCOCK ST NYC,
675,168 W 58th St NYC,
676,21 W 58th St NYC,
677,200 E 87th St NYC,
678,245 W 125th St NYC,
679,2333 Ellis Ave NYC,
680,269 E Burnside Ave NYC,
681,649 Allerton Ave NYC,
682,1717 Sheepshead Bay Rd NYC,
683,2922 Avenue J NYC,
684,540 E 19th St NYC,
685,505 Church Ave NYC,
686,824 Herkimer St NYC,
687,W Washington Ave NYC,
688,89-56 162nd St NYC,
689,E 112th St NYC,
690,42-07 162nd St NYC,
691,100-26 67th Rd NYC,
692,37-61 90th St NYC,
693,38 E 58 ST NYC,
694,432 MOTHER GASTON BLVD NYC,
695,1386 DEKALB AVE NYC,
696,99 Hudson St NYC,
697,242 E 28th St NYC,
698,W Madison Ave NYC,
699,339 W 70th St NYC,
700,2852 Broadway NYC,
701,21 W 76th St NYC,
702,1931 Chatterton Ave NYC,
703,2700 Grand Concourse NYC,
704,6802 Bay Pky NYC,
705,W Rugby Rd NYC,
706,1306 Loring Ave NYC,
707,185 Roebling St NYC,
708,22-40 Mott Ave NYC,
709,97-11 Sutphin Blvd NYC,
711,75-12 Vleigh Pl NYC,
712,111-44 77th Ave NYC,
713,48 W 14 ST NYC,
714,62 Greene St NYC,
715,357 W 12th St NYC,
716,528 W 39th St NYC,
717,192 Lexington Ave NYC,
718,7 W 30th St NYC,
719,264 W 40th St NYC,
720,753 9th Ave NYC,
721,300 E 65th St NYC,
722,2380 Coney Island Ave NYC,
723,1901 Emmons Ave NYC,
724,581 E 81 STREET NYC,
725,576 Onderdonk Ave NYC,
726,97-37 Christie Ave NYC,
727,E 66th Rd NYC,
728,1102 HERKIMER ST NYC,
729,38 Dominick St NYC,
730,36 Lispenard St NYC,
731,3 Allen St NYC,
732,78 E 1st St NYC,
733,122 4th Ave NYC,
734,N W 28th St NYC,
735,550 W 43rd St NYC,
736,20 W 64th St NYC,
737,4 W 63rd St NYC,
738,152 W 88th St NYC,
739,1240 Havemeyer Ave NYC,
740,1932 Walton Ave NYC,
741,744 E 214th St NYC,
742,E W 29th St NYC,
743,140 Clinton St NYC,
744,N Dekalb Ave NYC,
745,141 Ross St NYC,
746,70-48 66th Pl NYC,
747,37-60 82nd St NYC,
748,1376 Union St NYC,
749,3020 E TREMONT AVE NYC,
750,396 HANCOCK STREET NYC,
751,3398 BOSTON ROAD NYC,
752,991 PRESIDENT ST NYC,
753,200 E 28th St NYC,
754,33-17 84th St NYC,
755,276 W 113th St NYC,
757,217 W Broadway NYC,
758,185 E 117th St NYC,
759,1250 REDFERN AVENUE NYC,
760,40-11 30TH AVE NYC,
761,690 WASHINGTON ST NYC,
762,2716 Cortelyou Rd NYC,
763,109 W 77th St NYC,
764,16-62 Grove St NYC,
765,2306 Nostrand Ave NYC,
766,E Winans St NYC,
767,1232 PROSPECT AVE NYC,
768,2362 86 ST NYC,
769,1309 GREENE AVE NYC,
770,143 E 34TH ST NYC,
771,6 E 61st St NYC,
772,1968 2nd Ave NYC,
773,2177 Arthur Ave NYC,
774,N St Johns Pl NYC,
775,569 W 235th St NYC,
776,749 Grand St NYC,
777,1376 DEKALB AV NYC,
778,190 TOMPKINS AVE NYC,
779,1580 PELHAM PKWY SO NYC,
780,133 Greene St NYC,
781,90 University Pl NYC,
782,256 10th Ave NYC,
783,N E 55th St NYC,
784,S E 56th St NYC,
785,1616 3rd Ave NYC,
786,65 E 96th St NYC,
787,336 E 117th St NYC,
788,535 TINTON AVE NYC,
789,1719 Westchester Ave NYC,
790,249 Echo Pl NYC,
791,2486 Tiebout Ave NYC,
792,2709 Briggs Ave NYC,
794,15 E 98th St NYC,
795,893 Belmont Ave NYC,
796,609 Madison St NYC,
797,61 Washington St NYC,
798,256 Marcy Ave NYC,
799,91-12 Liberty Ave NYC,
800,44-06 48th Ave NYC,
801,92-01 63rd Dr NYC,
802,400 CHAMBERS ST NYC,
803,1723 UNION STREET NYC,
804,294 54TH AVE NYC,
805,75 Mulberry St NYC,
807,85 10th Ave NYC,
808,729 7th Ave NYC,
809,25 Lenox Ave NYC,
810,121 Vermilyea Ave NYC,
811,295 E 149th St NYC,
